file_path,Brain,Genotype,Type,Striatal.Subregion,Bif_ampl_local,Bif_ampl_remote,Branch_Order,Depth,Sum_EucDistance,Max_EucDistance,Fractal_Dim,Height,Length,N_bifs,N_branch,N_stems,N_tips,Partition_asymmetry,Sum_PathDistance,Max_PathDistance,Width,Terminal_degree,Bif_tilt_local,Bif_tilt_remote,Bif_torque_local,Bif_torque_remote,ABEL_All,BAPL_All,ABEL_Internal,BAPL_Internal,ABEL_Terminal,BAPL_Terminal,Balancing_Factor,Centripetal_Bias,Convexity
hTME16-1_03_xyz-2899-11914-279,hTME16-1,WT,D2,CPi,71.0012,63.8031,4,75.03,19611.6,113.097,1.0322,135.12,1207.12,14,33,5,19,0.371429,24244.9,140.23,119.82,1.22717,113.5,123.147,86.3158,99.9901,31.04530523,36.57515152,12.79411011,13.67,44.49355427,53.45263158,0.732690849,3.740609243,0.743764172
hTME16-1_03_xyz-2916-14533-144,hTME16-1,WT,D2,CPr,78.2051,72.8429,5,74.86,31934.8,103.405,1.02929,142.84,1681.06,19,42,4,23,0.227068,41521.6,128.406,114.93,1.17098,110.325,116.29,75.5084,89.4429,33.92936983,40.02119048,10.08354161,10.66684211,53.62809748,64.27043478,0.744689041,3.960830569,0.8688
hTME16-1_03_xyz-3802-10429-268,hTME16-1,WT,D2,CPi,75.2803,86.5328,3,79.88,16095.3,90.0678,1.0403,109.74,1130.85,12,30,6,18,0.1,21284.4,111.991,99.11,1.24697,117.28,104.342,86.9347,80.1767,30.84282025,37.69133333,15.73416853,18.33916667,40.91525473,50.59277778,0.670377612,2.877901512,0.9
hTME16-1_03_xyz-3849-12839-131,hTME16-1,WT,D2,CPr,75.8196,53.4341,4,55.21,15820.4,86.8866,1.0453,131.161,1007.62,9,25,7,16,0.37037,21115.5,116.229,96.8954,1.34521,108.818,127.085,92.7463,97.944,31.24134763,40.3,16.10322849,17.47333333,39.75653964,53.14,0.737499383,3.82618546,0.898148148
hTME16-1_03_xyz-3994-9190-240,hTME16-1,WT,D1,CPi,84.996,71.3029,8,99.71,46250.8,136.247,1.02838,162.459,1819.63,22,47,3,25,0.451879,57363.8,146.398,116.985,1.37753,109.059,116.858,92.6188,88.2161,33.67260204,38.7106383,15.45466778,16.55136364,49.70438419,58.2108,0.774421397,4.620036214,0.743484225
hTME16-1_03_xyz-4546-13446-275,hTME16-1,WT,D2,CPi,83.489,70.2907,7,87.12,26891.6,86.5238,1.03338,118.679,1485.25,18,41,5,23,0.429012,39262.8,156.856,95.8742,1.2866,111.477,110.33,88.0393,95.4672,29.71068014,36.2202439,12.13717908,14.50888889,43.46385488,53.21173913,0.717069819,3.484759506,0.8416
hTME16-1_03_xyz-4809-12427-280,hTME16-1,WT,D1,CPi,57.0462,75.6383,4,74,19786.3,87.7243,1.03856,129.113,1362.8,15,38,8,23,0.488889,25950.7,117.061,110.312,1.24686,124.983,109.987,100.192,90.528,29.26193225,35.85763158,13.64298453,15.04666667,39.4482025,49.43,0.726147881,3.629506713,0.8144
hTME16-1_03_xyz-4999-7572-223,hTME16-1,WT,D2,CPr,67.7707,66.4526,4,73.74,21998.5,118.293,1.03092,130.84,1285.61,15,35,5,20,0.395556,26527.6,135.502,104.78,1.34318,120.788,120.827,89.742,80.5735,31.56467367,36.72657143,17.23406554,18.07,42.31262977,50.719,0.795302379,5.212046074,0.861570248
hTME16-1_03_xyz-5725-14660-141,hTME16-1,WT,D1,CPr,81.177,64.4137,6,71.56,27828.9,104.319,1.02927,145.26,1603.91,21,47,5,26,0.470899,35020.9,120.62,111.64,1.34507,106.448,123.487,100.625,94.3491,30.17457918,34.12085106,10.71407481,11.58904762,45.89267887,52.31961538,0.798464639,5.3136836,0.891581633
hTME16-1_03_xyz-6764-14530-99,hTME16-1,WT,D2,CPr,70.7408,61.7948,3,57.42,32773.8,107.989,1.04249,164.591,1693.06,20,46,6,26,0.258333,39899.1,140.163,94.1714,1.32415,121.136,126.342,85.6485,80.6178,30.53586171,36.80108696,18.92713871,20.4915,39.46564864,49.34692308,0.76927356,4.492331514,0.887755102
