"file_path","Box","Brain","Type","Striatal.Subregion","Sex","Bif_ampl_local","Bif_ampl_remote","Branch_Order","Depth","Sum_EucDistance","Max_EucDistance","Fractal_Dim","Height","Length","N_bifs","N_branch","N_stems","N_tips","Partition_asymmetry","Sum_PathDistance","Max_PathDistance","Width","Terminal_degree","Bif_tilt_local","Bif_tilt_remote","Bif_torque_local","Bif_torque_remote","ABEL_All","BAPL_All","ABEL_Internal","BAPL_Internal","ABEL_Terminal","BAPL_Terminal","Balancing_Factor","Centripetal_Bias","Convexity","Cluster","x","y","z","CP box"
"0001_TME10-3_30x_Str_02A_xyz-6777-9688-17","4512","TME10-3","D1","CPr","Female",101.87994568401,82.4877945241308,4.01656059527478,70.232598881912,13520.2370100176,116.805555858718,1.03882656905974,174.267489082438,747.422853140708,7.80262309770966,19.626655262664,4.02140906724466,11.8240321649543,0.313734354998991,17399.1850337517,164.02862028301,91.3905118174864,1.29262859736079,93.6062612456926,111.469265224521,89.677315914516,111.109232843882,31.6902538451992,38.7959885792568,16.4277070761634,17.7058961129251,41.6315436546455,52.5529067523091,0.648455989301245,2.71358974108473,0.855004408947825,3,1250,1750,2250,189
"0002_TME10-3_30x_Str_02A_xyz-7092-9874-62","4493","TME10-3","D1","CPr","Female",78.7207456840099,74.1744945241308,4.01656059527478,70.332598881912,57181.6370100176,158.338555858718,1.04607656905974,237.099489082438,1713.60185314071,10.8026230977097,24.626655262664,3.02140906724466,13.8240321649543,0.425476354998991,72764.4850337517,197.54262028301,141.200911817486,1.16890859736079,118.552161245693,114.914265224521,85.366215914516,79.186032843882,53.6878948651992,69.6985885792568,18.5523263061634,20.5214642929251,81.1138255246455,108.124692452309,0.744231846301245,3.98138716108473,0.853330301947825,5,750,1250,2250,194
"0003_TME10-3_30x_Str_02A_xyz-7174-11291-81","4493","TME10-3","D2","CPr","Female",88.4497456840099,79.9806945241308,5.01656059527478,79.212598881912,72126.2370100176,167.405555858718,1.03286656905974,191.598489082438,2576.25185314071,21.8026230977097,48.626655262664,5.02140906724466,26.8240321649543,0.403399354998991,96491.2850337517,201.38862028301,140.822911817486,1.29843859736079,104.945161245693,113.201265224521,83.487415914516,93.533032843882,44.1393487951992,53.2036008192568,19.1814664361634,20.7873733829251,64.3078067646455,79.4257771223091,0.697991827301245,3.25981494808473,0.831393061947825,5,750,1250,2250,194
"0005_TME10-3_30x_Str_02A_xyz-7485-11477-233","4493","TME10-3","D1","CPr","Female",80.4974456840099,76.9158945241308,4.01656059527478,69.992598881912,71821.9370100176,206.616555858718,1.02953656905974,258.588489082438,2067.89185314071,15.8026230977097,35.626655262664,4.02140906724466,19.8240321649543,0.313734354998991,91077.7850337517,268.12162028301,149.482911817486,1.30591859736079,113.876161245693,118.547265224521,86.382815914516,93.525332843882,48.9473934651992,58.2677107992568,29.3080448561634,32.4927711129251,64.4846633346455,78.6854067523091,0.725804008301245,3.66186710308473,0.886291303947825,5,750,1250,2250,194
"0007_TME10-3_30x_Str_02A_xyz-7519-12335-265","4492","TME10-3","D1","CPr","Female",69.2017456840099,65.8912945241308,3.01656059527478,122.752598881912,50663.3370100176,166.009555858718,1.03208656905974,233.867489082438,1644.26185314071,11.8026230977097,27.626655262664,4.02140906724466,15.8240321649543,0.390123354998991,64277.0850337517,227.21762028301,171.990911817486,1.24028859736079,118.705161245693,124.739265224521,85.463415914516,99.126232843882,50.1159262751992,59.7622742892568,17.7206152161634,19.4371461129251,74.2158759246455,89.7660317523091,0.742691795301245,3.95275974708473,0.846626983947825,3,250,1250,2250,193
"0009_TME10-3_30x_Str_02A_xyz-7685-6653-270","4495","TME10-3","D2",NA,"Female",75.1406456840099,81.6594945241308,4.01656059527478,61.662598881912,26519.3370100176,135.793555858718,1.02635656905974,188.157489082438,1254.59185314071,11.8026230977097,27.626655262664,4.02140906724466,15.8240321649543,0.306790354998991,32879.1850337517,160.87162028301,128.080911817486,1.24662859736079,126.597161245693,121.475265224521,96.591415914516,112.373232843882,40.1749655951992,45.8458457192568,17.8883913761634,19.0438127829251,56.6933626046455,65.7072817523091,0.792146331301245,5.10795816408473,0.923787477947825,7,1750,1250,2250,196
"001_TME08-1_30x_Str_02A_xyz-10345-19733-278","4255","TME08-1","D2","CPi","Female",55.5952007202523,70.8713372989407,3.70238286380047,11.2108130884596,10461.1533717642,120.285964993557,1.02312796666131,174.246831839515,1067.67033534649,9.82236796060941,23.5935051728893,3.94876925167043,13.7711372122798,0.304345818337718,14705.1925609605,151.154989450434,168.313304611138,1.26778635332913,132.108598653978,113.261175463255,99.2146302501843,93.656306718375,42.9731595093998,49.0154399089184,16.306376896643,17.8091462219204,62.4695056220562,71.8191782959435,0.763923159141574,4.41966844249933,0.875282548153719,7,-1250,1250,1750,161
"001_TME09-1_30x_Str_02A_xyz-6227-9797-56","4278","TME09-1","D1","CPr","Male",64.1845965945369,63.9641707528775,4.13655502062087,142.774864281893,79614.2782394608,138.047155672896,1.02471734672396,191.486407441632,2960.69134549879,23.3567669237805,53.8796051836897,7.1660713361288,30.5228382599093,0.36826329020293,98523.587846629,175.676338786216,163.174364093804,1.23996143811151,127.151992919018,123.998293748167,88.2805043726597,102.302751258822,47.7004918343528,55.2826205952042,20.8121874027022,22.1718217532419,68.2535131533896,80.5820721098064,0.757776794378803,4.28112518245694,0.852109560090861,3,1250,1750,1750,159
"001_TME10-1_30x_Str_02A_xyz-3891-12982-405","4528","TME10-1","D2","CPr","Female",58.688235077653,61.5902797769062,5.01609349844452,70.4653506796917,40007.2819231701,147.400667237414,1.02999068429144,230.621514618513,1956.6508579366,14.0507438476716,34.0326167217441,5.93112902640084,19.9818728740725,0.531710442526419,47114.6119336408,173.72558441975,189.532394754331,1.37318716109235,134.4932811375,129.663212251395,89.7768542191718,95.6494856877414,49.2914238247842,57.1714417679638,28.069727171279,29.8141152861417,64.2006962849017,76.424142092884,0.794500330185302,5.24150958123475,0.896852807337394,2,250,2250,2250,181
"0010_TME10-3_30x_Str_02A_xyz-7691-9217-94","4494","TME10-3","D1","CPr","Female",80.7990456840099,77.3579945241308,4.01656059527478,117.632598881912,60304.4370100176,160.635555858718,1.03843656905974,224.987489082438,2311.69185314071,14.8026230977097,35.626655262664,6.02140906724466,20.8240321649543,0.297530354998991,80821.5850337517,216.98562028301,142.421911817486,1.15658859736079,117.014161245693,114.310265224521,96.575815914516,91.950232843882,51.7166950251992,65.0390996892568,19.5438334261634,20.8816461129251,74.4848306346455,96.3130258023091,0.692151801301245,3.18543433108473,0.895782156947825,5,1250,1250,2250,195
